request_id,request
237,could you submit a pto request for me for dates june 11 to 14
238,what name do you go by
239,please use a male voice when speaking
240,can i use normal flour if i don't have bread flour
241,when is the next time off for a holiday here
242,how do i schedule vacation days
243,i would like to know how to make a vacation request
244,where can i find information on oil changes for my car
245,"never mind, cancel that"
246,do i need to change my oil
247,i didn't get your name
248,i would like an uber please
249,"i need you to place a stop on my bank account, thank you"
250,where is my delivery order
251,is there any way you can decrease your speaking rate
252,what can you be asked about
253,call an uber to take a group of 4 from this bar to the one on maple st
254,do the tires need air
255,whats 5 feet in inches
256,is it hot outside
257,what am i allowed to ask you
258,what kind of things can i ask the ai
259,abort running program
260,can you find me a hotel for 2 people on april 1st to 4th in rome
261,how do you say hello in japanese
262,"you are talking far too fast for me, can you slow it down a bit"
263,what is the status of my recent order
264,"siri, where is my iphone"
265,make sure i get a meeting room for 9am on friday
266,please put a stop on my back account
267,what is the tire pressure of the car
268,do i need a tourist visa for europe
269,is it possible to have a place booked in salem from the 1st to the 3rd
270,which gas would be best
271,what is life's meaning
272,i'm out of toothpaste so will you order me some more
273,are my tires filled enough
274,i'm out of lysol could you order me some
275,i need to know my spending limit on my visa
276,remind me to call bob
277,can i put normal unleaded in this car
278,is my calendar free next sunday
279,what is my gas level
280,find that song that goes something like i'm hooked on a feeling
281,"what is the date tomorrow, please"
282,turn on the tv
283,please tell me the status of my southwest flight
284,what is left to do today
285,use a male voice instead
286,"i heard that opening a new account will decrease my credit score, is it true"
287,tell me what tomorrow's date is
288,how do i plug stuff in in france
289,revert back to factory settings
290,what is the date for tomorrow
291,is my tire pressure good
292,how can i build credit
293,is it allow to switch apples to grapes
294,is cleaning the garage on my to do list
295,do i need a socket converter if i'm going to be in hong kong
296,what is my amex credit limit
297,what's on my calendar for march 01
298,please let my bank know that i will be visiting spain from june 12th to the 24th
299,can i pay my bill
300,so please reset your factory settings
301,"on tuesday i will be leaving for tennessee and will not be returning until the twenty ninth, alert my bank of this"
302,please pay my sprint bill using my bank of america checking account
303,my visa has been damaged
304,what is 89 divided by 3
305,are the ratings for yardhouse good
306,when can i expect my new card to get here
307,how many pto days do i have left
308,has my vacation request been approved
309,when's the next time i have to get an oil change
310,when do i get a day off
311,please remind me later
312,read some of the reviews for wing stop
313,what subjects do you know something about
314,where can i go to eat
315,i need a hotel room for 4 people from may 3 to may 5 in boston
316,what is the remainder of my starbucks rewards balance
317,is the review ned's have good
318,convert 2 inches to meters
319,what's an interesting tidbit about rivers
320,"i need an oil change, make an appointment"
321,can you find music by slow magic to put on
322,set a reminder
323,your factory settings need to be reset
324,"my water bill is due, pay it immediately"
325,does cielo have good reviews
326,tell me what date it is please
327,what's my car's tire pressure
328,check the status of my order
329,are socket converters needed if i'm going to cape town
330,i'd like a block on my charles schwab account immediately
331,can you turn off the process
332,read my calendar for march 7th
333,can i redeem my points for flights
334,i must know how to say thank you in german
335,"i'd like to report my card as damaged, it's bent"
336,translate for me hello into french
337,what the current balance of reward points on my mastercard
338,when is my flight going to arrive
339,when are we off work next
340,order more bread please
341,ai i need to go to charlies with eight adults can you get uber
342,play some rock
343,what date will it be 9 days from now
344,how would i change from centimeters to inches
345,i am hoping to apply for an amex card
346,what holiday is coming up
347,charge my internet bill to the corporate account
348,please stop my account
349,are you able to get into my phone at the moment
350,which plugs does england use
351,i want to cash out my credit card points
352,how many ounces in a gallon
353,what's your full name
354,what is the max on my credit limit
355,whats the update on flight dl123
356,order my whole shopping list
357,what kind of gas should i use to fill the car
358,can you tell me what the weather will be please
359,i want to find out if this will hurt my credit
360,can i get someone to look at my check engine light that is on
361,"when i go to mexico, what kind of plugs do i need"
362,list a few pizza places that have seating near my current location
363,please tell me your name
364,about how long before i need another oil change
365,set my oven to 350 please
366,"if i lost my luggage, what should i do next"
367,give me kilograms to pounds
368,can you read my to do list to me please
369,is there a wait time at bjs right now
370,what is it like the temperature at ac
371,can you get my car started
372,i would like to know how to perform an oil change
373,it seems i can't use my card since it has been damaged
374,how do i say i'm sorry in chinese
375,where is my cellphone
376,can i substitute vinegar for apple cider vinegar
377,what's 10 inches in centimeters and millimeters
378,give me the status of flight dl123
379,can you book me a hotel in los angeles near commerce casino from april 1st to the 5th
380,i wanna change to the female voice
381,did i put a car wash on my todo list
382,call an uber for 2 people to go to fourth street live
383,i need a hotel in new orleans with awesome reviews
384,please use a male voice
385,should i put air in my tires
386,"right now, i need to know the meaning of life"
387,is there any good place for mexican food in hawaii
388,what are in my reminders list
389,the next holiday is when
390,whats the predicted weather suppose to be like
391,"put my music on, please"
392,can you read my gas level
393,can you buy something
394,what sorts of tasks can you do
395,what sort of fuel do i need for my car
396,how soon until the next holiday
397,tell me what is showing up on my reminder list
398,what methods can i use to improve my credit score
399,misplaced my phone
400,when will me new card arrive
401,what subjects do you know well
402,please schedule an appointment for my oil to get changed
403,can you tell me how busy outback steakhouse will be at 7:30 pm
404,terminate current process
405,check on my to-do list items
406,what is your name
407,reset to factory settings
408,recall the things i wanted to remember
409,what is the process to set up a meeting
410,schedule car repairs
411,give me my to-do list
412,how are british plugs
413,what day is the next holiday
414,please make my account a frozen one
415,do you have a name
416,will i have to wait a long time to receive my new credit card after i lost my old one
417,gauge the tire pressure
418,will i be able to get a seat at 5pm
419,i need to submit a request for pto for june 12th to june 14th
420,what is the date in 5 days
421,how do they say hello in france
422,please look into the current wait times at chili's right now
423,how much air remains in my tires
424,can you recommend for me when to next get my oil changed
425,how many items are on my todo list
426,how's the air pressure in my tires
427,i have to pay my water bill but need help doing it
428,how many calories does a scoop of chocolate ice cream contain
429,"it's been 3 years since i changed my oil, how long until i have to deal with it"
430,what is 8 factorial
431,what should i squirrel away to pay in taxes
432,please play the song that goes like america the beautiful
433,find me an uber to downtown
434,give me instructions for changing the oil in a 2015 passat
435,"never mind, cancel that"
436,please track my order
437,unfortunately it would appear that my luggage is totally lost
438,can you find some instructions on how to change my oil
439,i'm intereted in requesting pto from april 1-5
440,play rock playlist
441,help me find my cellphone
442,how many miles can i drive before needing the next oil change
443,what's the answer to existence
444,could you schedule a meeting room for 4:00 on thursday
445,does jamaica require a visa
446,measure tire pressure
447,has my ordered arrived
448,discontinue your current task
449,i need guidance on changing my oil
450,how many teaspoons in a cup
451,don't talk anymore
452,pair with my smart phone
453,bump some jams
454,i want an uber to take me to walmart
455,does bank of america give credit cards to people like me
456,how busy is jiro at 12 lunch time
457,do i need a visa to travel to canada
458,where's my phone at
459,are the pancakes at ihop any good
460,change to female voice
461,pay my electric bill from my amex account
462,define the meaning of life
463,unsync from my phone
464,what's the status of my vacation days
465,pair my phone please
466,please begin pairing with my phone
467,can i use pasta sauce instead of tomato paste
468,will you repeat my reminder list
469,how many points do i have in total on my marriot rewards card
470,i don't want you to speak any more for now
471,track my package please
472,please give me a really impressive piece of trivia about bubble gum
473,alter back to your orginal settings
474,how many calories in gum
475,make a reminder to pay my cable bill today
476,what do you want me to refer to you as
477,i need a new accent male british
478,i'm due for an oil change and need assistance doing it and also need to know what kind of oil the car takes
479,switch from the male to the female voice
480,make me a reminder that tommorow is trash day
481,can you sync up with my phone
482,connect me with an uber
483,please use male voice
484,i need help paying my water bill
485,what is the square root of 95
486,what are some good mexican restaurants in indianapolis
487,how long it takes to get a new replacement card
488,is there a special place where i can schedule to check my tires out
489,time to replace my credit card
490,give me an interesting fact about antarctica
491,i need an uber to get to dulles airport
492,is the company party on my list of reminders
493,what is the credit limit
494,when will they let me board
495,i am in the mood to listen to mack the knife
496,can you teach me how to change my oil
497,can you tell me what kind of outlet plug there is over there
498,tell the bank i'm traveling between denver and la
499,what is the process to schedule a meeting
500,i need to find somewhere to check my tires out
501,please introduce yourself
502,is a visa necessary for traveling to south africa
503,what is my to-do list like today
504,set a pto request for april 1st and 2nd
505,my damage card is not working
506,"can you tell me, what is the meaning of life"
507,please turn on factory settings
508,order more paper towels from amazon
509,where is my cellphone
510,stop the process happening now
511,gauge the tire pressure
512,what is my points total for my mastercard
513,how many calories does a scoop of chocolate ice cream have
514,start up some music
515,i need to know my credit's limit
516,when is boarding scheduled
517,how many calories are in an apple
518,how do i say thank you in spanish
519,and what are the taxes
520,how many calories are in a piece of bacon
521,i just used up my toothpaste and need you to order more
522,"the card is torn, let's report it"
523,what's on my reminder list today
524,how many miles is five kilometers
525,i need to know how to change my oil
526,i have what to do on wednesday
527,would you please put a block on my chase account right away
528,can my car get to dallas with the gas currently in my tank
529,reset to your original settings
530,do i have enough gas in my car to make it to dallas
531,can you explain to me what type of vacation days i have still
532,turn on the tv please
533,what is inches in centimeters
534,do you know where my phone is located now
535,am i close to arriving at the post office
536,now use male voice
537,i'm going to be in thailand from october 15th until october 23rd
538,i'd like to know your name
539,i lost my phone
540,how long does it take to get to el paso on a bus
541,how long does it take to get to houston by bus
542,please reset your factory settings
543,what holiday is next and when
544,i'd like to know the meaning of life
545,"i lost my luggage, what now"
546,can you speak faster
547,show me my next day off
548,show me where my order is
549,what is the credit limit for my navy federal card
550,can you send me a new credit card please mine is getting old and unusable
551,put me back on my factory settings
552,help me find my package
553,i think i'd like to apply for an amex
554,is my order already here
555,please turn the tv on
556,can you look to see whether feeding the fish is on my to do list
557,use male voice
558,please put a stop on my bank account
559,can you please make an appointment for me to get my tires checked out
560,disconnect sync from my phone
561,reset device to original settings
562,tell me how much in tax on this
563,i need to find my phone
564,tell me my tires' air pressure
565,tell me the calorie content of an apple
566,please set the temperature to 80
567,can you add 5 and 89
568,apply for an american express card
569,i need to know how long until my next vacation day
570,"at 4 tomorrow afternoon, remind me to start the oven"
571,i need instructions on how to change my car's oil and what type i should buy
572,disconnect from my device please
573,can i use any fuel in my car
574,is flight dl123 on time
575,it appears that my luggage has vanished
576,what's the process for getting an american express card
577,bump some jams
578,tell me the conversion between tablespoons and cups
579,make the temperature 78 in here
580,i need to know what the visa card credit limit is
581,do you know my phone's location
582,speed up your talking please
583,where is flight dl123
584,"tomorrow, what will the date be"
585,stop it now!
586,what are some good places to go out for dinner in my area tonight
587,how are my tires
588,whats the max i can spend on my visa
589,start using a different accent
590,"would you translate a sentence into russian for me, please"
591,can you speak more slowly
592,what name should i refer to you as
593,what is the boarding time for my upcoming flight
594,tell my bank that i'm travelling to france in 2 days
595,refrain from talking
596,i want you to turn the tv on
597,what questions are permissible
598,let me know what you can assist me with
599,create a reminder to change my oil
600,do i need to go under the car to change oil
601,the atm chewed up my card can i get a new one
602,set a reminder to remind me to check when my car payment is
603,i need an uber please
604,change back to default settings
605,rolls have how many calories
606,can you tell me what things i was trying to remember
607,please set the temperature to 80
608,try a male voice
609,who is at the door
610,put a hold on my account
611,forget my previous command
612,i want to hear satisfaction
613,i want my schedule for march 2
614,are there any ubers available that fit 5 people we are going to wendys
615,tell me today's fun fact
616,does applebee's have good reviews
617,what's in the books for april 30th
618,set the ceiling fan to low
619,how are british plugs
620,start playing my black metal playlist
621,i need to get my tired checked at one of the location
622,what plug types are there in cuba
623,how much time does it take a new card to get mailed to me
624,how can i claim my rewards for my visa card
625,can you look into the status of my vacation request
626,can you order more chapstick i am all out
627,how are the burgers at carl jr's
628,can you turn on the tv
629,how many ounces is 2 and half cups
630,"today my electric bill will be paid, or should be"
631,my card is not working and i need to let them know
632,can i substitute butter for margarine
633,check meeting rooms available between one and three pm
634,is my luggage lost
635,how many people go to chili's around 9pm
636,what would be the conversion between tablespoons and teaspoons
637,what day of the month is it today
638,how high is my credit limit for my bank of america card
639,can you play music
640,walk me through the process of applying for an american express card
641,i would like you to revert to your factory settings
642,how long should i wait to get my new card when my old one was stolen
643,please inform me the gas i need to fill this car up with
644,has my day off request been approved or denied yet
645,"i need to make an appointment for an oil change, please"
646,what is the solution to sixty times thirty
647,"when referring to you, what name should i use"
648,what is 7 x 7
649,i would like to know my vacation days balance
650,i gotta know when should i get my oil changed next
651,is almond milk an acceptable substitute for milk
652,please make a report that my card is split
653,"repeat my to do list to me, please"
654,what can i do to keep my score from dropping
655,undo this process
656,my card is damaged so i can not use it
657,give me manual on how to change oil
658,what type of gas goes into the car
659,play a song
660,is there a conversion plug if you travel to australia
661,how much gas do i have in the tank
662,what is an 18 percent tip on 20 dollars
663,do you know of any well reviewed hotels in chicago
664,look up uber to downtown
665,did i put vacuuming on my todo's
666,can you please freeze my bank account
667,can my debit card be replaced quickly
668,tell me what the status is for my aa flight
669,what is 250 times 118 times 9
670,i'm going to need a hotel room for 8 people in tallahassee from 3/10 until 3/12
671,what fuel do i put in this car
672,how do you say please in french
673,i need to to the female voice
674,"help, i cannot find my phone"
675,what's today's date
676,tell me what time my flight ought to be landing
677,howcan i locate my luggage
678,what topics can i ask you about
679,"ai, shut up"
680,when will the replaecment card arrive
681,talk faster than that
682,light the bedroom lights
683,forget my previous command
684,tell me how to utilize my card points
685,purchase me the kyrie 4s
686,"i would like an uber going to the train station, please"
687,can i pay a bill
688,is there any good place in hawaii kai that serve local food
689,how good are the ratings for the olive garden
690,when will the clothes i ordered online arrive
691,i need to know everything on my to do list currently
692,can i schedule a car repair
693,have you heard how the enchiladas are at jose's taco shop
694,i need to know today's date
695,does my vacation have approval
696,can you help me find my cell
697,play ludacris hits
698,how do you convert milliliters to ounces
699,play music by ludacris
700,please reset the factory settings
701,how to change oil of a car
702,i have to pay how much back in taxes
703,what exactly is the meaning of life
704,what's my total point number on my mastercard
705,help me figure out how to change my oil
706,is my tire pressure okay
707,is there a meeting room available between one and two
708,"suggest a restaurant for me to eat tonight, please"
709,what is 500 x 25
710,what kind of fuel do i need to put in my car
711,i was wondering about the vacation time you said you'll approve
712,how long before the next day off is here
713,can i hear some music by cloud control
714,what is the current weather like
715,how long is a bus ride to staples
716,"how do i apply for a visa card, please"
717,"i just placed my order today, what is the status of it"
718,i want to hear the female voice from now on
719,when does this place let us have a holiday next
720,i'd like to buy something
721,when does boarding for my flight begin
722,i am going to go ahead and pair this with my new phone
723,what are the things that i have for today
724,i would like to apply for a new credit card
725,what did i put on my list of reminders
726,i need to listen to my beyonce playlist
727,please change your accent the male british one
728,"using my salary as a basis, what taxes will i owe"
729,where are rewards from my visa card visible
730,play heart shaped box
731,are there a lot of calories in muffins
732,are there any ubers available for two people i need it to go to the stadium on grand
733,how many points do i have on my visa
734,what is 20% of a thousand
735,are my tires low on air
736,stop the process
737,what day am i on on vacation and how much do i got left
738,give me my reminders
739,i want to know the meaning of life
740,can you buy something
741,what name do you like to go by
742,how much air do i have in my tires
743,tell me any events scheduled on my calendar for april 15
744,how many points do i have on my mlife card
745,when do i need to change my oil again
746,"i haven't heard if my request for time off for vacation has been approved , can you get an update for me"
747,in england how do they say subway
748,how high is my balance on my discovery card
749,when will i hear back about my days off
750,please be quiet now
751,i wanna know my credit card's rewards balance
752,how can i hurt my credit score
753,tell me what your name is
754,is it raining in sparks
755,i need to know what the most recent update is on the status of my online purchase
756,can you tell me the most interesting fact about resistors
757,drop some beats
758,what line is the gas tank at
759,i would like to make a pto request for july 17th and 18th
760,i want to know how to say goodbye in france
761,tell me what holiday is comming up next
762,"my luggage is lost, i was on american airlines ab123 out of los angeles"
763,how could i replace my oil and what form of oil ought to i take advantage of
764,"book an uber with the destination set to david's house, please"
765,can i use yogurt in place of sour cream
766,how do i find out my rewards balance on my chase card
767,what are the manufacturers guidance on oil changes
768,define the meaning of life
769,who has the best credit card offering for a college student
770,can you please dim the lights
771,i would like to know tomorrow's date
772,"actually, cancel that"
773,was my order shipped here
774,can you get me an uber to disney world
775,what if i lost my luggage
776,which gas would be best
777,what is 13 times 45
778,does this car need high octane gas
779,check what's on my calendar for tuesday
780,do i need a socket converter if i'm going to be in russia
781,i'm travelling to seattle soon and want to inform my bank
782,my tires are how low on air
783,can i get cash back for my points
784,do i need a socket converter if i'm going to mexico
785,i'm traveling to morocco soon and want to inform my bank
786,when do i need to change my oil next
787,i need to hear my shower playlist
788,can you please talk slower
789,what kind of outlets does havana have
790,is my request going to be approved for vacation
791,can you talk at a normal speed please
792,is checking the mail on my list of reminder
793,what is the average time it takes to get to target in los angeles
794,i need to change your voice settings
795,find my phone
796,can you link to my phone
797,how is the weather in miami
798,does cleveland have any good places that serve clams
799,what factors can ruin a credit score
800,what's the date of the next closest holiday
801,i would like to report my card damaged since i accidentally spilled gorilla glue all over it and the numbers are now obscured
802,what is the time frame for changing oil
803,find an indian restaurant
804,my auto tires need to be checked out so where can i get an appointment
805,can you please turn on my furnace
806,what is 10 + 10
807,can you use male voice
808,set a reminder to call my mom
809,female voice please
810,can you stop
811,warm up my car for me
812,my luggage has disappeared
813,"what is 25% of $54,788"
814,how hot will it be tomorrow
815,what is the air pressure in my tires
816,i want a clean bootup to factory settings
817,get me an uber to chilis
818,i need to know today's date please
819,what is the calorie count for one cookie
820,how many calories in gum
821,does england require socket converters
822,"please order some more cat food, i'm out"
823,can i substitute milk for water
824,now reset your factory settings
825,if i need a new card mailed how long will it take
826,with my phone please pair
827,tell me today's date
828,is a plug converter required for haiti
829,i'd like your name
830,at what time should i be boarding my flight
831,what's happening on may 3rd
832,"sorry, can you speak a little quicker, please"
833,i need a stop placed on my bank account please
834,on turn tv
835,where do i make a vacation request
836,can you hook up a meeting for 3:00 on wednesday
837,my card is damaged and unusable
838,when's my flight boarding
839,let me know what's on my list of reminders
840,i need to pay my mortgage
841,where do i find instructions on how to speed up voice replies
842,how do i convert a cup to ml
843,what's my credit limit on my visa
844,are there ways for me to make my credit score better
845,make sur eyou tell the bank that i will be traveling internationally soon
846,i would like to know what type of things you can help me with
847,i want to apply for a wells fargo credit card
848,do you know if my vacation request is still pending
849,what is 78 times 85
850,play some music
851,what's tomorrow's date
852,is my todo list possible today
853,list my reminders
854,how about a reminder
855,to what extent until the following free day
856,what is the year to date total on my vacation days
857,you have yo go to school on calendar
858,i want a table at texas roadhouse; how long will it be
859,proper to substitute cumin for tumeric
860,what is the calorie count of a burrito
861,can you purchase underpants for me
862,what's the eta for grandma's house
863,freeze my account immediately
864,can you tell me how to change my oil and what kind i use
865,how much can i buy on my discover card
866,what's the next holiday
867,"show me some options for new credit cards that i can apply for, please"
868,could you make me a reminder to do the floors
869,please refrain from carrying out the current task
870,put a hault on my savings account
871,when's my flight boarding
872,set the tv on
873,"ai, cancel that last request"
874,does life have meaning
875,is today monday
876,where do i begin the process of reporting my luggage lost
877,what kind of gas do i put in my car
878,can you please order me more plastic bags
879,what and when is the next holiday
880,where should i go for dinner
881,help me set up a meeting please
882,i want to apply for a alphabank card
883,confirm the doors are locked
884,can you divide 100 by 20
885,what is the procedure if i lost my luggage
886,can you share the status of my day off request
887,can you adjust the speed of your voice
888,i'm out of fabric softener so will you order me some more
889,when will be the next holiday here
890,how can i contribute to my credit score
891,how long is it going to take me to get to bellevue
892,what's the time to destination going via bus to omaha
893,does going to taiwan require me to get an international visa
894,pay the electric bill
895,tell me the procedure for changing oil in a car
896,find an indian restaurant
897,how can i redeem the points i've earned with my credit card
898,what is one thing i might not know about nike shoes
899,do you have a nickname
900,make a reminder to give the cat her flea medicine
901,any news on my vacation
902,switch to female voice
903,tell me a random fact
904,at what time will my flight land
905,locate my phone
906,im at lax and my bags aren't
907,what's a neat fact about twinkies
908,what's my tax rate
909,can you tell me where my item is
910,did i put an item on the calendar to get the dog neutered
911,i need your to reset to factory settings
912,is my order due yet
913,can i substitute apple juice for wine
914,what is the best way to deal with my lost luggage
915,can you convert millimeters to centimeters
916,what do i have on my need to do list
917,help me apply for an american express card
918,what's my discover credit limit
919,tell me how many calories in a medium size apple
920,will i need a plug converter when i visit costa rica
921,are you able to sub white sugar for brown sugar
922,what is my citigroup card's rewards balance
923,today is what date
924,i'd like your name
925,can you translate milk into spanish for me
926,can you talk slower please
927,are you able to put a stop on my bank account
928,when will the restaurant be busiest
929,can you tell me the items on my to do list
930,what is the purpose of creation
931,what is the amount of time i can request off in the coming year
932,repeat my to do list
933,what reminders did i have
934,i want to hear cool bee facts
935,tell me a fun fact about tigers
936,so i have any vacation days left
937,just stop talking
938,is there a certain type of gas i need to use for this car
939,is it acceptable to swap milk for water
940,what date will it be 6 days from now
941,are barcelona plugs compatible
942,is it okay to switch apples for grapes
943,tell me how to make a vacation request
944,diy oil change
945,what's the answer to 5-6=
946,where is my phone
947,do i have a car wash scheduled on my to do list
948,i wanna know the gad i need to fill this car up with
949,do you know if vacation got approved
950,can you talk slower please
951,can you tell me how to change my oil please
952,what's the current tire pressure of my tires
953,i've told my financial institution that i'm in africa from august 6 to december 5
954,is my gas tank full or empty
955,how would i say pleased to meet you if i were japanese
956,who is knocking
957,reserve a meeting room for 5pm on friday
958,meaning of life is
959,how many calories are in apples
960,i need to know if sorting the mail is on my to do list
961,pay my dte bill from my checking account please
962,tell me my reminders
963,i've saved what number of days of vacation
964,is today monday
965,how many points did my visa earn
966,please speak slower
967,does france use a socket converter
968,tell me how to apply for a credit card
969,my luggage is missing
970,"travel time to bend, oregon"
971,is it possible to substitute apple cider vinegar for lemons
972,can i use mayo instead of miracle whip
973,i want to pay off my student loan
974,desync from my phone
975,tell me a random fact
976,turn on the tv
977,how long does it take to get a table at chili's
978,how do germans say goodnight
979,when is the upcoming holiday
980,when will i get my order
981,when to change my oil
982,tv on turn
983,how would they say butter in zambia
984,book me a hotel with good ratings in nashville
985,ai can you help me find my phone
986,tell me if opening a new account will decrease my credit score
987,how high is my credit limit for my american express card
